# org_id,org_cellx,org_celly,org_forage_target,org_group_id,org_facing
3550335,28,59,-1,-1,1
3549039,16,7,-1,-1,0
3552632,0,26,-1,-1,4
3554051,2,57,-1,-1,2
3552947,2,10,-1,-1,2
3556513,35,46,-1,-1,3
3553855,1,4,-1,-1,6
3556587,22,35,-1,-1,2
3553602,49,26,-1,-1,5
3553489,56,28,-1,-1,1
3551563,20,44,-1,-1,3
3554556,48,32,-1,-1,3
3543688,54,26,-1,-1,5
3554635,27,35,-1,-1,2
3553750,24,38,-1,-1,1
3554684,16,41,-1,-1,5
3555055,57,53,-1,-1,5
3548307,45,16,-1,-1,6
3555951,40,33,-1,-1,6
3556014,51,25,-1,-1,6
3555764,36,4,-1,-1,4
3552037,32,29,-1,-1,1
3555922,34,10,-1,-1,6
3555995,48,30,-1,-1,2
3551793,17,22,-1,-1,6
3548793,1,33,-1,-1,5
3553965,33,43,-1,-1,3
3552447,21,18,-1,-1,6
3549049,22,21,-1,-1,2
3553830,36,36,-1,-1,0
3554054,3,0,-1,-1,0
3555713,43,25,-1,-1,4
3551499,10,18,-1,-1,6
3551554,29,44,-1,-1,4
3555395,24,19,-1,-1,3
3554428,17,31,-1,-1,2
3551492,45,28,-1,-1,0
3546154,29,53,-1,-1,1
3546005,39,2,-1,-1,7
3548825,28,25,-1,-1,4
3556324,44,58,-1,-1,3
3553169,55,52,-1,-1,6
3556458,14,20,-1,-1,5
3555946,4,51,-1,-1,1
3549374,32,53,-1,-1,7
3555207,7,52,-1,-1,2
3555372,15,50,-1,-1,1
3549700,7,11,-1,-1,4
3554726,43,59,-1,-1,7
3551030,39,44,-1,-1,0
3554809,29,10,-1,-1,1
3546623,23,40,-1,-1,1
3553796,20,36,-1,-1,6
3556442,0,6,-1,-1,4
3554995,9,12,-1,-1,7
3547501,22,36,-1,-1,2
3553110,53,4,-1,-1,4
3555993,18,2,-1,-1,1
3555846,6,33,-1,-1,7
3555981,49,38,-1,-1,0
3552711,31,32,-1,-1,7
3554367,37,51,-1,-1,5
3549235,17,34,-1,-1,6
3553526,20,22,-1,-1,2
3553186,34,9,-1,-1,5
3548748,33,13,-1,-1,6
3555701,31,49,-1,-1,5
3555557,30,6,-1,-1,4
3555328,53,32,-1,-1,4
3554583,3,20,-1,-1,0
3556321,4,29,-1,-1,6
3554612,28,54,-1,-1,0
3550845,3,7,-1,-1,4
3549213,12,32,-1,-1,3
3551344,49,37,-1,-1,2
3556460,15,13,-1,-1,2
3556456,1,23,-1,-1,4
3555702,27,39,-1,-1,6
3555979,53,27,-1,-1,7
3556199,21,43,-1,-1,7
3555240,39,54,-1,-1,6
3554451,44,5,-1,-1,4
3554516,10,33,-1,-1,6
3554297,23,46,-1,-1,0
3554744,34,40,-1,-1,4
3550940,27,19,-1,-1,6
3553558,41,55,-1,-1,0
3547596,13,31,-1,-1,2
3554062,29,40,-1,-1,2
3550971,59,0,-1,-1,4
3554218,24,42,-1,-1,5
3544840,59,14,-1,-1,1
3554352,44,13,-1,-1,6
3554274,43,11,-1,-1,6
3551023,1,43,-1,-1,7
3552457,27,12,-1,-1,3
3551124,6,57,-1,-1,3
3556133,1,26,-1,-1,7
3551828,55,60,-1,-1,5
3550644,46,58,-1,-1,2
3556528,60,34,-1,-1,6
3556500,10,51,-1,-1,2
3549813,59,4,-1,-1,6
3551720,5,24,-1,-1,1
3537989,9,50,-1,-1,0
3550426,45,48,-1,-1,3
3550935,14,28,-1,-1,0
3553588,46,8,-1,-1,3
3555499,36,34,-1,-1,6
3555155,50,3,-1,-1,2
3547942,47,61,-1,-1,5
3555938,27,29,-1,-1,2
3555670,12,42,-1,-1,0
3555519,48,47,-1,-1,3
3555294,54,11,-1,-1,7
3554638,28,23,-1,-1,2
3553280,5,22,-1,-1,6
3555329,16,27,-1,-1,4
3555305,61,49,-1,-1,5
3552672,30,7,-1,-1,4
3555720,12,19,-1,-1,1
3555443,24,10,-1,-1,0
3556316,54,57,-1,-1,6
3546319,36,8,-1,-1,0
3554741,50,56,-1,-1,2
3549293,31,33,-1,-1,7
3554549,51,3,-1,-1,4
3553954,35,23,-1,-1,6
3547638,1,16,-1,-1,2
3551460,10,42,-1,-1,5
3550092,43,34,-1,-1,2
3547246,6,40,-1,-1,2
3554031,36,31,-1,-1,3
3554944,54,18,-1,-1,0
3555245,3,9,-1,-1,5
3553805,48,9,-1,-1,7
3555219,49,35,-1,-1,0
3550478,45,22,-1,-1,3
3554123,8,9,-1,-1,0
3555954,17,3,-1,-1,7
3551725,22,31,-1,-1,6
3550873,44,9,-1,-1,2
3555013,41,42,-1,-1,5
3556537,59,47,-1,-1,2
3554086,51,21,-1,-1,1
3556161,26,4,-1,-1,7
3555180,40,36,-1,-1,1
3554459,11,6,-1,-1,6
3555574,29,20,-1,-1,3
3556561,39,51,-1,-1,0
3555017,6,48,-1,-1,7
3551885,49,46,-1,-1,1
3550325,4,37,-1,-1,3
3552537,38,59,-1,-1,2
3556221,19,7,-1,-1,6
3555819,6,19,-1,-1,2
3556559,59,5,-1,-1,4
3547163,31,14,-1,-1,0
3555791,33,18,-1,-1,4
3549844,11,55,-1,-1,3
3549621,47,25,-1,-1,0
3542136,30,8,-1,-1,0
