# Wed Feb 19 14:53:17 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 2 0.0168028 2 0 0.00156087 
1600 2 0.18475 2 0 0.0280957 
1700 3 0.435015 3 0 0.0702393 
1800 3 0.49339 3 0 0.0827479 
1900 3 0.493075 3 0 0.0827263 
2000 3 0.559773 3 0 0.0978148 
2100 4 0.73771 4 0 0.124122 
2200 7 0.918759 7 0.00312337 0.151484 
2300 6 1.02523 6 0.00208117 0.177159 
2400 6 1.17717 6 0.0132674 0.218002 
2500 6 1.32714 6 0.0158689 0.260666 
2600 7 1.39918 7 0.0299168 0.28512 
2700 7 1.44298 7 0.0382414 0.299948 
2800 7 1.53431 7 0.0590838 0.343311 
2900 7 1.53559 7 0.055411 0.335328 
3000 8 1.61472 8 0.0669271 0.361719 
3100 7 1.7447 7 0.0959938 0.434183 
3200 8 1.75901 8 0.0806452 0.417274 
3300 8 1.73599 8 0.0640125 0.399428 
3400 8 1.70681 8 0.0512487 0.376431 
3500 7 1.7243 7 0.048127 0.387097 
3600 7 1.86125 7 0.0530697 0.42924 
3700 8 1.96537 8 0.0741608 0.478012 
3800 7 1.77674 7 0.0528233 0.404372 
3900 7 1.865 7 0.0504683 0.432102 
4000 8 1.76175 8 0.0348595 0.389438 
4100 8 1.74429 8 0.0335588 0.381113 
4200 7 1.77145 7 0.0502212 0.395264 
4300 9 1.94516 9 0.0643387 0.452889 
4400 8 1.97847 8 0.0762227 0.470864 
4500 9 1.87578 9 0.0827263 0.436785 
4600 8 1.83308 8 0.0819459 0.425338 
4700 8 1.87901 8 0.110822 0.460718 
4800 8 1.72734 8 0.117326 0.425078 
4900 8 1.75997 8 0.129553 0.449272 
5000 8 1.78949 8 0.1064 0.432882 
5100 8 1.85051 8 0.108481 0.448231 
5200 14 2.44502 14 0.0962539 0.548907 
5300 11 2.60806 11 0.0991413 0.60942 
5400 14 2.70552 14 0.0810575 0.636316 
5500 17 2.98939 17 0.0957778 0.735172 
5600 16 3.11408 16 0.107813 0.800728 
5700 17 3.233 17 0.115456 0.830861 
5800 16 3.17084 16 0.113944 0.818418 
5900 16 3.29767 16 0.120187 0.886316 
6000 16 3.37791 16 0.152264 0.951067 
6100 15 3.38458 15 0.174298 0.965921 
6200 16 3.43586 16 0.200885 1.02368 
6300 18 3.51501 18 0.20765 1.02576 
6400 18 3.49894 18 0.181629 1.00963 
6500 18 3.47786 18 0.210458 1.03434 
6600 19 3.47423 19 0.234261 1.07286 
6700 20 3.58989 20 0.243644 1.08481 
6800 18 3.56825 18 0.217075 1.04553 
6900 18 3.55814 18 0.241097 1.08325 
7000 21 3.52215 21 0.247964 1.09677 
7100 20 3.64406 20 0.258924 1.10068 
7200 19 3.61148 19 0.269413 1.11342 
7300 20 3.66865 20 0.257937 1.11967 
7400 20 3.63981 20 0.255775 1.0968 
7500 19 3.64978 19 0.279671 1.11059 
7600 19 3.55587 19 0.282548 1.09755 
7700 21 3.67836 21 0.279685 1.12441 
7800 22 3.6738 22 0.347316 1.1704 
7900 24 3.90904 24 0.392479 1.26509 
8000 25 3.88526 25 0.379535 1.25085 
8100 22 3.9863 22 0.38621 1.26067 
8200 21 4.01898 21 0.405093 1.27627 
8300 24 3.99638 24 0.414846 1.28668 
8400 24 3.94281 24 0.390593 1.24974 
8500 24 3.96783 24 0.413844 1.26665 
8600 25 4.00081 25 0.428225 1.31304 
8700 24 4.05113 24 0.440762 1.33949 
8800 23 3.98011 23 0.416715 1.29735 
8900 22 3.90659 22 0.400291 1.25937 
9000 26 3.9653 26 0.426409 1.28044 
9100 25 3.99123 25 0.48052 1.35172 
9200 26 4.0194 26 0.539624 1.41441 
9300 26 4.0832 26 0.524967 1.423 
9400 26 4.02653 26 0.481969 1.35874 
9500 28 4.10531 28 0.504955 1.391 
9600 28 4.12518 28 0.47148 1.35588 
9700 30 4.11767 30 0.51172 1.38111 
9800 34 4.32684 34 0.5559 1.4654 
9900 32 4.18125 32 0.512593 1.42846 
10000 32 4.10859 32 0.474711 1.3453 
