# Avida Dominant Data
# Wed Feb 19 16:07:20 2014
#  1: Update
#  2: Average Merit of the Dominant Genotype
#  3: Average Gestation Time of the Dominant Genotype
#  4: Average Fitness of the Dominant Genotype
#  5: Repro Rate?
#  6: Size of Dominant Genotype
#  7: Copied Size of Dominant Genotype
#  8: Executed Size of Dominant Genotype
#  9: Abundance of Dominant Genotype
# 10: Number of Births
# 11: Number of Dominant Breed True?
# 12: Dominant Gene Depth
# 13: Dominant Breed In
# 14: Max Fitness?
# 15: Genotype ID of Dominant Genotype
# 16: Name of the Dominant Genotype

0 0 0 0 0 50 0 0 3844 0 0 0 0 0 1 050-aaaaa 
1000 50 146 0.342466 0.00684932 53 53 50 62 10 6 7 0 0.365672 50071 053-aaagg 
2000 75.6853 142 0.532995 0.00704225 53 53 50 33 2 2 17 0 0.493111 177264 053-aadsa 
3000 56.6008 139 0.4072 0.00719424 53 53 50 33 4 2 21 0 0.633068 233494 053-aafxo 
4000 76.2946 140 0.544961 0.00714286 53 53 50 46 9 7 30 0 0.430701 396148 053-aanzi 
5000 48.2854 140 0.344896 0.00714286 53 53 48 33 6 6 50 0 0.444 511371 053-aavny 
6000 50 116 0.431034 0.00862069 51 50.9896 50 30 8 5 76 0 0.51882 643198 051-aaexm 
7000 50 112 0.446429 0.00892857 50 50 50 37 4 4 84 0 0.52381 755133 050-aagmc 
8000 56.8671 121 0.469976 0.00826446 54 54 52 36 2 2 60 0 0.518075 888506 054-abckc 
9000 59.7234 121 0.493582 0.00826446 54 54 52 31 4 4 65 0 0.509143 1091309 054-abhwj 
10000 51 107 0.476636 0.00934579 51 51 51 32 7 7 121 0 0.53742 1219273 051-aaoeu 
