# Sat Feb 15 20:21:47 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 9 0.568306 9 0.939492 1.91778 
3000 16 1.28092 16 1.60627 3.10944 
4000 12 0.5708 12 1.93646 3.87889 
5000 13 0.564654 13 1.93886 3.88361 
6000 14 0.565345 14 1.93575 3.87966 
7000 12 0.557964 12 1.93618 3.88 
8000 12 0.483541 12 1.94515 3.89722 
9000 13 0.518024 13 1.94734 3.89772 
10000 12 0.485777 12 1.94826 3.90167 
11000 13 0.489462 13 1.95262 3.9075 
12000 12 0.475768 12 1.95216 3.90636 
13000 17 1.57309 17 1.76941 3.49111 
14000 13 0.676697 13 1.49347 2.86167 
15000 14 0.752483 14 1.47875 2.83917 
16000 15 0.69371 15 1.90113 3.82023 
17000 17 0.752078 17 1.88559 3.79744 
18000 18 0.758563 18 1.88958 3.80189 
19000 17 0.689753 17 1.89872 3.81917 
20000 16 0.76547 16 1.88487 3.79528 
21000 50 2.6015 50 2.0764 4.34944 
22000 33 1.13368 33 2.47864 5.70333 
23000 32 1.09882 32 2.47195 5.69444 
24000 36 1.10937 36 2.48284 5.71611 
25000 46 1.37106 46 2.46464 5.6625 
26000 48 1.29619 48 2.46782 5.67 
27000 35 1.20937 35 2.4703 5.67833 
28000 40 1.12894 40 2.4788 5.70306 
29000 36 1.03967 36 2.48845 5.72881 
30000 42 1.11857 42 2.4788 5.70694 
31000 32 1.02565 32 2.48289 5.72389 
32000 34 1.06007 34 2.48475 5.72194 
33000 34 1.07975 34 2.48146 5.71444 
34000 32 1.07729 32 2.47908 5.70778 
35000 36 1.06111 36 2.49234 5.73667 
36000 34 1.05606 34 2.48147 5.71722 
37000 34 1.14636 34 2.46611 5.68361 
38000 31 1.01777 31 2.48215 5.7225 
39000 35 1.03366 35 2.49106 5.73889 
40000 38 0.949137 38 2.49751 5.76139 
41000 35 1.02146 35 2.48842 5.73528 
42000 29 1.06903 29 2.47542 5.70444 
43000 28 0.884798 28 2.50372 5.77583 
44000 34 1.00966 34 2.48874 5.73556 
45000 31 0.941483 31 2.49761 5.75583 
46000 32 1.07488 32 2.48305 5.71778 
47000 30 0.927555 30 2.5013 5.76528 
48000 32 0.949928 32 2.49891 5.76271 
49000 34 1.05439 34 2.48478 5.72167 
50000 36 0.907034 36 2.50438 5.77438 
51000 30 1.01806 30 2.48183 5.72159 
52000 35 1.01961 35 2.49371 5.74222 
